,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,order_complex,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
1,2017106404,3,6,2023/05/04,8312,43,6,11.0,13,2,3.2,2.0,1,1,1115,57.0,2,1600,4,99.3,37.2,505,-3,0,0,0,0,1,0,0,8000.0
2,2017106404,3,6,2023/02/19,8234,5,6,11.0,16,6,10.7,4.0,0,1,1115,58.0,2,1600,4,96.2,35.8,508,6,0,0,0,0,1,0,0,3048.6
3,2017106404,3,5,2022/12/29,8182,44,6,9.0,14,5,2.3,1.0,0,1,1115,57.0,2,2000,4,125.8,38.2,502,-2,1,0,0,0,1,0,0,2000.0
4,2017106404,3,5,2022/11/03,8125,35,4,12.0,15,6,5.7,3.0,0,0,1115,57.0,2,2000,4,123.3,36.7,504,4,0,0,0,0,1,0,0,500.0
5,2017106404,3,5,2022/06/29,7996,44,6,11.0,9,9,19.2,5.0,1,1,1115,57.0,2,2000,4,123.3,37.0,500,-6,1,0,0,0,1,0,0,8000.0
1,2019104678,3,3,2022/12/04,8157,7,6,11.0,16,10,14.3,4.0,0,1,1014,56.0,2,1800,4,111.9,36.7,500,-1,0,0,0,0,1,0,0,4898.4
2,2019104678,3,3,2022/11/03,8125,35,4,12.0,15,4,4.4,2.0,0,1,1014,55.0,2,2000,4,122.5,36.8,501,-1,0,0,0,0,1,0,0,3500.0
3,2019104678,3,3,2022/09/28,8088,43,6,11.0,13,6,5.1,3.0,0,1,1014,54.0,2,1800,4,113.1,39.3,502,0,0,0,0,0,0,1,1,1225.0
4,2019104678,3,3,2022/02/20,7863,5,5,9.0,14,9,4.5,3.0,0,0,5212,56.0,2,1600,2,95.8,35.6,498,10,0,0,0,0,0,0,0,0.0
5,2019104678,3,2,2021/11/07,7757,9,6,9.0,13,13,7.2,4.0,1,1,732,55.0,2,1800,4,113.5,38.3,488,-6,0,0,0,0,0,0,0,1038.0
1,2017101010,3,6,2023/02/01,8216,45,6,11.0,10,3,2.0,1.0,0,1,1126,57.0,2,2100,4,136.1,39.9,493,-1,0,0,0,0,1,0,0,2800.0
2,2017101010,3,5,2022/12/04,8157,7,6,11.0,16,12,1.5,1.0,0,0,1126,57.0,2,1800,4,112.2,36.8,494,-7,0,0,0,0,1,0,0,1800.0
3,2017101010,3,5,2022/11/03,8125,35,4,12.0,15,13,1.8,1.0,1,1,1126,57.0,2,2000,4,122.1,36.1,501,6,0,0,0,0,1,0,0,10000.0
4,2017101010,3,5,2022/06/29,7996,44,6,11.0,9,8,1.5,1.0,0,0,1126,57.0,2,2000,4,124.4,38.4,495,-5,1,0,0,0,1,0,0,800.0
5,2017101010,3,5,2022/05/21,7957,7,5,11.0,16,4,1.8,1.0,1,1,1126,59.0,2,1900,4,117.0,35.9,500,0,0,0,0,0,0,0,0,3856.7
2,2017103290,3,6,2023/05/20,8328,8,6,11.0,16,11,2.9,2.0,0,1,1174,57.0,2,1900,3,120.2,39.1,490,-9,0,0,0,0,0,0,0,1516.4
3,2017103290,3,6,2023/03/16,8262,48,6,11.0,12,3,1.2,1.0,1,1,1088,54.0,2,2000,4,128.2,36.1,499,-1,0,0,0,0,0,0,0,2500.0
4,2017103290,3,6,2023/01/22,8206,7,6,11.0,15,4,2.7,1.0,0,1,1088,57.0,2,1800,4,111.6,36.2,500,10,0,0,0,0,0,1,1,2230.4
5,2017103290,3,5,2022/11/06,8128,9,6,11.0,16,12,4.5,2.0,0,1,1014,56.0,2,1800,4,111.6,37.0,490,-2,0,0,0,0,0,0,0,1616.4
6,2017103290,3,5,2022/10/15,8106,9,6,11.0,16,6,2.9,1.0,1,1,1168,56.0,2,1800,4,111.1,36.5,492,6,0,0,0,0,0,0,0,2243.4
1,2017101184,3,6,2023/04/16,8293,9,6,11.0,15,12,1.9,1.0,1,1,1157,59.0,2,1800,2,109.5,38.0,520,4,0,0,0,0,0,0,0,3853.2
2,2017101184,3,6,2023/01/22,8206,7,6,11.0,15,10,5.1,2.0,1,1,5627,57.0,2,1800,4,111.2,36.4,516,-4,0,0,0,0,0,1,1,5606.4
3,2017101184,3,5,2022/12/24,8177,9,6,10.0,16,9,2.9,1.0,1,1,5627,56.0,2,1800,3,112.0,38.1,520,-4,0,0,0,0,0,0,0,1873.6
4,2017101184,3,5,2022/11/05,8127,9,6,8.0,12,10,2.2,1.0,1,1,1199,55.0,2,1800,4,112.5,38.4,524,-4,0,0,0,0,0,0,0,1110.0
5,2017101184,3,5,2022/10/23,8114,4,3,8.0,11,1,3.0,2.0,1,1,1193,53.0,2,1800,3,112.4,38.3,528,-2,0,0,0,0,0,0,0,770.0
2,2017105395,3,6,2023/05/24,8332,44,6,11.0,14,4,2.6,1.0,0,1,5380,57.0,2,2000,2,125.6,39.1,496,6,1,0,0,0,0,0,0,640.0
3,2017105395,3,6,2023/02/01,8216,45,6,11.0,10,10,39.8,6.0,0,0,5380,57.0,2,2100,4,138.0,41.9,490,-1,0,0,0,0,1,0,0,400.0
4,2017105395,3,5,2022/12/29,8182,44,6,9.0,14,3,17.4,6.0,0,0,5380,57.0,2,2000,4,126.1,38.3,491,1,1,0,0,0,1,0,0,500.0
5,2017105395,3,5,2022/12/08,8161,44,6,11.0,16,16,14.0,8.0,1,1,5380,57.0,2,1800,1,111.6,38.0,490,-6,1,0,0,0,0,0,0,2200.0
6,2017105395,3,5,2022/10/19,8110,42,6,11.0,12,3,31.6,6.0,1,1,5380,58.0,2,2000,2,128.9,40.4,496,-8,0,0,0,0,0,0,0,1200.0
1,2017105396,3,5,2022/12/04,8157,7,6,11.0,16,5,7.9,3.0,1,1,1150,57.0,2,1800,4,111.9,36.2,486,8,0,0,0,0,1,0,0,12344.4
